,0
0,Alabama
1,Alaska
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,North Carolina
26,North Dakota
27,Ohio
28,Oklahoma
29,Oregon
30,Pennsylvania
31,Rhode Island
32,South Carolina
33,South Dakota
34,Tennessee
35,Texas
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
